"Source","Target","Type","Weight","RelationType","Confidence","SourceKind","Notes"
"GridX","pregen","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","Protiva","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","puna-bio","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Qnity","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","qumir-nano","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Radial","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","resistia","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","scitherm-therapeutics","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Semion","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","SphereBio","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","st-mm","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Sylvarum","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","synthetic-ocular-restoration","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","syocin-biotech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","tesabio-ai","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","tomorrow-foods","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","ubique-bio","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","UpDairy","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","vexxel-biotech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","werk-nvac","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","zavia-bio","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","zev-biotech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"grupo-insud","tomorrow-foods","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"grupo-peruanos","zev-biotech","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"happiness","microgenesis","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"hatch","Feedvax","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","argenTAG","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","Beeflow","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","caspr-biotech","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","michroma","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","microgenesis","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","onco-precision","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","puna-bio","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"indiebio","st-mm","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","calice","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","deepagro","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","eiwa","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","elytron-biotech","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","Kigui","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","Nat4Bio","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","satellites-on-fire","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","sensify","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","SiloReal","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","tracestory","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","UNIBAIO","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"inventure","zoomagri","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"jeff-wilke","Beeflow","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kairetsu-angels","michroma","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","aerialoop","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","altscore","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","arqlite","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","auravant","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","bacu","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","Bioeutectics","Undirected","2","funded_by","medium","ecosystem_seed","reference_visual|Seen in reference image cluster"
"kamay-ventures","ini","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kilimo","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","logshare","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","muta","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","nude","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","retrypay","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","ruedata","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","sensei","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","sensify","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","solfium","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","webee","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","wiagro","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","wisy","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kamay-ventures","zipnova","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"kwb","microgenesis","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
