"entity_type","entity_id","entity_name","pipeline_state","scope_decision","review_status","quality_band","data_quality_score_10","source_type","source_url","structured_country","capital_edge_count","needs_source","needs_scope_decision","needs_country","needs_quality_upgrade","needs_capital_edge","priority_score"
"startup","123seguro","123Seguro","source_needed","exclude","taxonomy_stub","high","8.5","taxonomy_stub","","","0","True","False","False","False","False","95"
"startup","barte","Barte","source_needed","exclude","taxonomy_stub","high","8.5","taxonomy_stub","","","0","True","False","False","False","False","95"
"startup","cobli","Cobli","source_needed","exclude","taxonomy_stub","high","8.5","taxonomy_stub","","","0","True","False","False","False","False","95"
"startup","luzid","Luzid","source_needed","exclude","seeded","high","8.5","portfolio_or_official_override","","CR","0","True","False","False","False","False","95"
"startup","nuclearis","Nuclearis","source_needed","exclude","seeded","high","8.5","portfolio_or_official_override","","AR","0","True","False","False","False","False","95"
"startup","nuvemshop","Nuvemshop","source_needed","exclude","taxonomy_stub","high","8.5","taxonomy_stub","","BR/AR","0","True","False","False","False","False","95"
"startup","nuvia","Nuvia","source_needed","exclude","seeded","high","8.5","portfolio_or_official_override","","US","0","True","False","False","False","False","95"
"startup","uala","Ualá","source_needed","exclude","taxonomy_stub","high","8.5","taxonomy_stub","","AR","0","True","False","False","False","False","95"
"startup","vu","Vu","source_needed","exclude","seeded","high","8.5","portfolio_or_official_override","","AR","0","True","False","False","False","False","95"
"startup","workana","Workana","source_needed","exclude","taxonomy_stub","high","8.5","taxonomy_stub","","AR/BR","0","True","False","False","False","False","95"
"startup","ages","AGES","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://www.kptl.com.br/portfolio/ages/","BR","0","False","False","False","False","True","30"
"startup","agricapital","Agricapital","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theyieldlablatam.com/companies/agricapital/","CO","0","False","False","False","False","True","30"
"startup","agrired","Agrired","ready_for_semantic","include","reviewed","medium","8","official_website","https://www.agrired.com.ar/","AR","0","False","False","False","False","True","30"
"startup","agrivalle","Agrivalle","source_backed_seeded","include","seeded","medium","7.5","external_profile","https://www.f6s.com/companies/agritech/brazil/co","BR","0","False","False","False","False","True","30"
"startup","agrolend","Agrolend","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://spventures.com.br/portfolio/agrolend/","BR","0","False","False","False","False","True","30"
"startup","agrosmart","Agrosmart","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://spventures.com.br/portfolio/agrosmart/","BR","0","False","False","False","False","True","30"
"startup","agrotools","AGROTOOLS","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://www.kptl.com.br/portfolio/agrotools/","BR","0","False","False","False","False","True","30"
"startup","agrourbana","Agrourbana","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://chileglobalventures.cl/en/portfolio/agrourbana/","CL","0","False","False","False","False","True","30"
"startup","amplify-dynamics","Amplify Dynamics","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theganeshalab.com/startup/amplify-dynamics/","CO","0","False","False","False","False","True","30"
"startup","aplife_biotech","Aplife Biotech","ready_for_semantic","include","reviewed","medium","7.5","official_website","https://www.aplifebiotech.com/about","BR","0","False","False","False","False","True","30"
"startup","arcomed","Arcomed","ready_for_semantic","include","reviewed","medium","8","official_website","https://www.arcomed.com/","CL","0","False","False","False","False","True","30"
"startup","asclepii","Asclepii","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://zentynel.com/en/portfolio/","US/CL/MX","0","False","False","False","False","True","30"
"startup","autem-medical","Autem Medical","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://zentynel.com/en/portfolio/","BR/US","0","False","False","False","False","True","30"
"startup","beam_croptech","BEAM CropTech","ready_for_semantic","include","reviewed","medium","7.5","official_website","https://beamcroptech.com/en/home-en/","AR","0","False","False","False","False","True","30"
"startup","bemagro","BemAgro","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theyieldlablatam.com/pt-br/companies/bemagro/","BR","0","False","False","False","False","True","30"
